Date,Time,Acc,Gyro
2025-02-07,14:30:50,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:51,"0.18, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:51,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:52,"0.18, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:52,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:53,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:53,"0.18, -0.10, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:54,"0.18, -0.10, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:30:55,"0.19, -0.10, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:30:55,"0.19, -0.10, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:30:56,"0.19, -0.10, 0.99","-0.24, -0.31, -0.24"
2025-02-07,14:30:56,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:57,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:57,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:58,"0.19, -0.10, 0.99","-0.12, -0.24, -0.24"
2025-02-07,14:30:58,"0.19, -0.10, 0.99","-0.18, -0.24, -0.24"
2025-02-07,14:30:59,"0.19, -0.10, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:30:59,"0.18, -0.10, 0.99","-0.06, -0.24, -0.24"
2025-02-07,14:31:00,"0.18, -0.10, 0.99","1.10, 0.00, -0.43"
2025-02-07,14:31:00,"0.19, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:31:01,"0.18, -0.10, 0.99","-0.79, -0.37, -0.18"
2025-02-07,14:31:01,"0.18, -0.10, 0.99","-0.18, -0.31, -0.24"
2025-02-07,14:31:02,"0.18, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:31:02,"0.18, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:31:03,"0.18, -0.10, 0.99","-0.24, -0.31, -0.24"
